scan_case,clean_label,noise_case,delta_nu_Hz,white_noise_var,sigma_frac,n_tod,n_pix_solved,hit_cut,method,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual,n_iter,converged
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,8640,536,0.00014316841097438042,equivalent_diagonal_GLS,536,1427.4140145856088,-664.9629859532731,1263.0657133924235,0.6894934212370576,671.9583865506689,2474.2144005909813,,
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,8640,536,0.00014316841097438042,hydra_lite_IRLS,536,1427.3412732757113,-664.9269139934906,1263.0024977977762,0.6895561716879326,672.2454169805421,2474.427799015453,3.0,True
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,536,0.00014316841097438042,equivalent_diagonal_GLS,536,1155.688043261967,-501.51782640303554,1041.1986953212383,0.803955520877234,470.3179038640002,2253.3279249380275,,
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,536,0.00014316841097438042,hydra_lite_IRLS,536,1155.698830002237,-501.5176841493544,1041.2107366686187,0.8039503779926924,470.42758528569414,2253.331648895419,3.0,True
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,536,0.00014316841097438042,equivalent_diagonal_GLS,536,664.5243535699374,-271.88533939980954,606.3587871112231,0.9294758731450533,257.57202259943256,1410.6515859264161,,
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,536,0.00014316841097438042,hydra_lite_IRLS,536,664.5259922574386,-271.88494923392597,606.3607579368893,0.9294753155580968,257.6027961926043,1410.5963342112523,3.0,True
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",none,,0.0,0.0,8640,528,0.00014293115385507834,equivalent_diagonal_GLS,528,2993.8781712266045,-2587.7242919848463,1505.652513968174,0.06583528007965089,2150.512287249171,5136.112018010353,,
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",none,,0.0,0.0,8640,528,0.00014293115385507834,hydra_lite_IRLS,528,2993.8781712266045,-2587.7242919848463,1505.652513968174,0.06583528007965089,2150.512287249171,5136.112018010353,0.0,True
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,528,0.00014293115385507834,equivalent_diagonal_GLS,528,1678.383881886097,-871.9672602286262,1434.100956022423,0.5173681592754188,721.9315325611203,3050.825681634302,,
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,528,0.00014293115385507834,hydra_lite_IRLS,528,1677.890815000869,-872.2395146441779,1433.3582302263342,0.5180899484150184,722.3623208784081,3050.082361760423,4.0,True
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,8640,528,0.00014293115385507834,equivalent_diagonal_GLS,528,1358.9891736093382,-636.0156204688202,1200.9728158901241,0.6959630501361188,635.1775560690606,2469.895994512857,,
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,8640,528,0.00014293115385507834,hydra_lite_IRLS,528,1358.8837628426427,-635.9754473579193,1200.874810825539,0.6960459059092818,635.0118680372079,2468.913606060169,3.0,True
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,528,0.00014293115385507834,equivalent_diagonal_GLS,528,1106.584579154482,-481.1305669712001,996.5153327212149,0.8075121578883869,390.1161102855375,2263.06046322479,,
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,528,0.00014293115385507834,hydra_lite_IRLS,528,1106.5835805049576,-481.13095027369525,996.5140387028689,0.807513661514253,390.11386033497774,2262.996095307943,3.0,True
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,528,0.00014293115385507834,equivalent_diagonal_GLS,528,793.7646569727121,-312.67372069094006,729.5871949591025,0.8941091210735904,318.94365045453605,1693.3568265946974,,
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,8640,528,0.00014293115385507834,hydra_lite_IRLS,528,793.765415619701,-312.67356525348856,729.5880869542683,0.8941089707873044,318.9731584888368,1693.2947534155514,3.0,True
