label,scan_case,clean_case,select_threshold,boundary_layer,n_pix,rmse,median_abs_residual,p95_abs_residual,median_unc
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,2,64,1307.5160375214484,580.9516651110465,2882.9981740013195,54.2270201544137
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,3,64,459.2028235901548,310.56127618147366,759.9457171790654,42.610232643874696
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,4,64,412.6910766425343,268.48263267955804,886.4430756087868,34.317692655225684
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,5,51,290.9603368806622,175.82819325800733,668.3566070275846,30.343476769347568
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,6,36,263.7840077188595,140.67580545673638,537.0477100919854,28.557557777800987
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,7,23,290.42108310992654,195.86665128747336,526.8893832261602,29.030057368388952
C_fast_rotation_24h_one_turn_per_hour__threshold_0.005,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.005,7,768,2561.586891024787,1238.750781842692,5648.328639684072,97.43596737005461
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,0,64,1128.8246774716815,442.03965769717115,2653.5735877896536,21.737626055796703
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,1,64,503.69310482734454,315.6126664931903,814.7889802454947,13.721952597622312
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,2,64,461.35915424995585,258.58299129695024,1028.419776192875,11.448943247348383
